NODE_KEY,locale,DESCRIPTION,,
0206097d-018c-42b6-9ce2-f60aae57e994,en,Our top-of-the-line television for a truly transformative entertainment experience.,,
0206097d-018c-42b6-9ce2-f60aae57e994,fr,Notre téléviseur haut de gamme pour une expérience de divertissement véritablement transformatrice.,,
0206097d-018c-42b6-9ce2-f60aae57e994,de,Unser Top-Fernseher für ein wirklich transformatives Unterhaltungserlebnis.,,
6f6f5a27-948a-41df-ad38-8da0b215f2fa,en,Discover the difference of watcdeng your favorite shows and movies on a screen that brings every detail to life.,,
6f6f5a27-948a-41df-ad38-8da0b215f2fa,fr,Découvrez la différence de regarder vos émissions et films préférés sur un écran qui donne vie à chaque détail.,,
6f6f5a27-948a-41df-ad38-8da0b215f2fa,de,"Entdecken Sie den Unterschied und sehen Sie Ihre Lieblingssendungen und -filme auf einem Bildschirm, der jedes Detail zum Leben erweckt.",,
42fe5f9e-d2dd-4d16-9768-355c9f5755a3,en,"With advanced features such as built-in streaming and voice control capabilities, tdes television offers convenience and entertainment in one sleek package.",,
42fe5f9e-d2dd-4d16-9768-355c9f5755a3,fr,"Avec des fonctionnalités avancées telles que des capacités intégrées de diffusion en continu et de commande vocale, ce téléviseur offre commodité et divertissement dans un seul ensemble élégant.",,
42fe5f9e-d2dd-4d16-9768-355c9f5755a3,de,"
Mit erweiterten Funktionen wie integrierten Streaming- und Sprachsteuerungsfunktionen bietet dieser Fernseher Komfort und Unterhaltung in einem großartigen Paket.",,
d4127948-6073-4b17-b6e0-1dba1bac078b,en,Enhance your viewing experience with exceptional picture quality and superior sound.,,
d4127948-6073-4b17-b6e0-1dba1bac078b,fr,Améliorez votre expérience visuelle avec une qualité d’image exceptionnelle et un son supérieur.,,
d4127948-6073-4b17-b6e0-1dba1bac078b,de,"
Verbessern Sie Ihr Seherlebnis mit außergewöhnlicher Bildqualität und hervorragendem Ton.",,
a94508c2-4209-4ba6-b3c6-a9036c9f4272,en,"Introducing our latest television model, designed to provide an immersive viewing experience with stunning picture quality and vibrant colors. ",,
a94508c2-4209-4ba6-b3c6-a9036c9f4272,fr,"Présentation de notre dernier modèle de téléviseur, conçu pour offrir une expérience visuelle immersive avec une qualité d'image époustouflante et des couleurs éclatantes.",,
a94508c2-4209-4ba6-b3c6-a9036c9f4272,de,"Wir stellen Ihnen unser neuestes Fernsehmodell vor, das ein beeindruckendes Seherlebnis mit atemberaubender Bildqualität und lebendigen Farben bietet.",,
3e92c359-620a-4164-a2a5-b3f2ce721a64,en,"Tdes sleek and modern television features a degh-definition display, perfect for enjoying your favorite movies, shows, and sports events in crystal-clear detail.",,
3e92c359-620a-4164-a2a5-b3f2ce721a64,fr,"Ce téléviseur élégant et moderne est doté d'un écran haute définition, parfait pour profiter de vos films, émissions et événements sportifs préférés avec des détails cristallins.",,
3e92c359-620a-4164-a2a5-b3f2ce721a64,de,"Dieser elegante und moderne Fernseher verfügt über ein hochauflösendes Display, mit dem Sie Ihre Lieblingsfilme, -sendungen und -sportveranstaltungen mit kristallklaren Details genießen können.",,
e33e9ffc-5c25-4db6-9105-689e5b9b6635,en,"With smart TV capabilities, you can easily access streaming services, apps, and online content with just a few clicks of the remote. ",,
e33e9ffc-5c25-4db6-9105-689e5b9b6635,fr,"
Grâce aux capacités Smart TV, vous pouvez facilement accéder aux services de streaming, aux applications et au contenu en ligne en quelques clics de télécommande.",,
e33e9ffc-5c25-4db6-9105-689e5b9b6635,de,"Mit den Smart-TV-Funktionen können Sie mit nur wenigen Klicks auf der Fernbedienung problemlos auf Streaming-Dienste, Apps und Online-Inhalte zugreifen.",,
1177588e-3835-47a0-a4e2-5c6819c0c563,en,Immerse yourself in your favorite content like never before with our degh-definition television.,,
1177588e-3835-47a0-a4e2-5c6819c0c563,fr,Plongez-vous dans votre contenu préféré comme jamais auparavant grâce à notre téléviseur haute définition.,,
1177588e-3835-47a0-a4e2-5c6819c0c563,de,Tauchen Sie mit unserem hochauflösenden Fernsehen wie nie zuvor in Ihre Lieblingsinhalte ein.,,
2437b853-520c-4107-802a-dfc62e3749f2,en,Upgrade your home entertainment system with our cutting-edge television.,,
2437b853-520c-4107-802a-dfc62e3749f2,fr,Améliorez votre système de divertissement à domicile avec notre téléviseur de pointe.,,
2437b853-520c-4107-802a-dfc62e3749f2,de,Rüsten Sie Ihr Home-Entertainment-System mit unserem hochmodernen Fernseher auf.,,
